,question,answer
1162,IFS CUBE HDU6的EXTNAME是什么？,IFS CUBE HDU6的EXTNAME是WEIGHT_MARTIX。
1163,IFS CUBE HDU7的TFIELDS值是多少？,IFS CUBE HDU7的TFIELDS值是1。
1164,CPIC DR的HDU1中，BITPIX的数据类型是什么？,CPIC DR的HDU1中，BITPIX的数据类型是16位的整数，表示数组数据类型。
1165,CPIC DR的HDU1中的EXTNAME是什么？,CPIC DR的HDU1中的EXTNAME是IMAGE。
1166,CPIC DR的HDU1的DETNAME是什么？,CPIC DR的HDU1的DETNAME是CCD201-20-EM。
1167,IMG_EXPT代表什么信息？,IMG_EXPT代表图像帧曝光开始时间。
1168,在CPIC DR的HDU1中，CD1_1的值是多少？,在CPIC DR的HDU1中，CD1_1的值是1。
1169,GAIN在CPIC DR的HDU1中代表什么？,GAIN在CPIC DR的HDU1中代表增益，单位是电子/模拟数字单位(e-/ADU)。
1170,光谱图像中目标源某一级像的截图被称为什么？,光谱图像中目标源某一级像的截图被称为stamp。
1171,ToO代表什么观测方式？,ToO代表机遇观测。
1172,WCS的全称是什么？,WCS的全称是World Coordinate System，即世界坐标系框架。
1173,什么是权重数据？,权重数据（weight data）指的是在数据处理过程中，用于表示数据点重要性或可靠性的数值。
1174,抽谱粒度是如何定义的？,抽谱粒度是以多少像素作为一个整体进行建模抽谱。
1175,暂现源alert是在哪个过程中发布的？,暂现源alert是在多通道成像仪数据处理过程中确认发现暂现源后发布的。
1176,科学数据处理系统的主要任务有哪些？,科学数据处理系统的主要任务包括科学观测需求编排、数据处理和观测数据仿真。科学观测需求编排涉及在充分考虑不同后端仪器观测任务的复杂性，且同时考虑为各个仪器所规划的时间分配比例的情况下，依照观测时间、仪器状态、科学优先级、观测天区等边界条件编排观测需求，并提交给有效载荷运控管理系统。数据处理涉及对所有后端模块所观测到的0级数据的科学处理，生成满足科学用户需求的1级和2级数据，形成科学数据产品。观测数据仿真涉及开展观测数据仿真研究，针对设施平台、主光机和各个后端模块的设计和运行特点模拟观测数据。
1177,CSST科学数据处理系统2级数据流水线的出错保护模式是如何工作的？,CSST科学数据处理系统2级数据流水线的出错保护模式在“基础2级数据处理”和“高级2级数据处理”两个模式在运行期间有部分算法程序异常时，会自动忽略它们，在数据库内完成相应标注后继续处理剩余数据。如果发生严重错误，无法继续开展数据处理，则转入“出错保护模式”，这一模式需要将已经完成的数据处理在数据库内进行标注，以便系统修复以后从中断之处继续处理。经人工干预以后，系统恢复正常进入“空闲模式”，并从数据库中确认断点位置并继续执行。
1178,科学观测需求编排功能产生的观测需求编排描述脚本是给谁的？,科学观测需求编排功能产生的观测需求编排描述脚本是给有效载荷运控管理系统的，用于生成上注指令。
1179,巡天模块天体测量数据处理的主要功能是什么？,巡天模块天体测量数据处理的主要功能包括：针对不同密度的星场图像开展单帧图像的目标提取、定心和天体测量，再结合多次观测资料，对图像中的太阳系快速移动天体进行识别，生成1级天测科学数据；基于1级天测科学数据，开展单帧图像高精度相对定位，对已积累多次观测数据的天区，开展多历元位置解算BCRS下天体测量5参数的工作，对多次观测到的太阳系快速移动目标，开展轨道确定以及目标分类工作，最终生成包括天体三维位置运动等参数及其误差的天体测量星表和太阳系快速移动天体历表等2级天测科学数据。
1180,OSCAN1是根据什么查询配置文件给出的？,OSCAN1是根据DETNAME查询配置文件给出的。
1181,BIN_X的值是如何确定的？,BIN_X的值是根据DETNAME查询配置文件给出的，表示紫外／可见合并行数的高字节。
1182,WCSAXES与MSC_MS的哪个属性相同？,WCSAXES与MSC_MS的WCS属性相同。
1183,GAIN01到GAIN16的值都是多少？,GAIN01到GAIN16的值都是32。
1184,RON01到RON16的值是如何获得的？,RON01到RON16的值是在地面测试阶段提供，然后写入配置文件的。
1185,READT1的读出时长在哪里提供？,READT1的读出时长在地面测试阶段提供，然后写入配置文件。
1186,DETTEMP0和DETTEMP1分别对应哪个二极管的测量？,DETTEMP0和DETTEMP1都对应二极管1的精测，但可能是不同时间或不同条件下的测量值。
1187,IFS的工作模式有哪些？,IFS的工作模式包括常温待机模式、低温待机模式、成像模式（自动流程）、光谱定标模式（自动流程）和辐射定标模式（自动流程）。
1188,IFSMODE中010代表什么模式？,IFSMODE中010代表成像模式（自动流程）。
1189,GAIN1和GAIN2的增益范围是多少？,GAIN1和GAIN2的增益范围是1x（全0）~5.8x（全1）。
1190,天琴计划是哪个大学正在进行中的空间引力波探测计划？,天琴计划是中山大学正在进行中的空间引力波探测计划。
1191,天琴计划由哪位中国科学院院士负责？,天琴计划由中国科学院院士、时任中山大学校长罗俊团队负责。
1192,天琴计划的地面基础设施位于哪里？,天琴计划的地面基础设施位于中山大学珠海校区。
1193,天琴计划由哪些主要部分组成？,天琴计划由引力波天文台、在地球轨道上的3颗全同卫星和其他地面基础设施组成。
1194,天琴计划是如何探测引力波的？,天琴计划通过检测卫星之间的激光束波动，探测引力波。
1195,哪个中心具体负责天琴计划的研究工作？,2016年4月成立的天琴中心具体负责天琴计划的研究工作。
1196,天琴一号试验卫星是在哪一年发射的？,天琴一号试验卫星是在2019年发射的。
1197,天琴一号试验卫星是由哪种运载火箭发射的？,天琴一号试验卫星是由长征四号乙运载火箭发射的。
1198,天琴计划预计在哪一年正式启动探测项目？,天琴计划预计在2025到2030年之间正式启动探测项目。
1199,目前天琴计划的项目建设进展如何？,目前，天琴计划的项目基础设施建设已经接近完成。
1200,DETBIA4B代表什么？,"DETBIA4B代表B: amplifier bias voltage (ADU, channel4) float，即B通道的放大器偏置电压。"
1201,ROSPEEDB的值是多少？,ROSPEEDB的值为100，表示B: readout speed (MHz) float，即B通道的读出速度为100 MHz。
1202,CHECKSUM的数据类型是什么？,CHECKSUM的数据类型是str，表示HDU checksum。
1203,RSS_VER表示什么？,RSS_VER表示the version of RSS pipeline str，即RSS管道的版本。
1204,MERGMETB的值代表什么？,MERGMETB的值为median，表示B: L0 data merging method str，即B通道的L0数据合并方法为中位数合并。
1205,PROCESS字段包含什么信息？,PROCESS字段包含processes that have done str，即已经完成的处理过程。
1206,BIASFILB是哪个文件的名称？,BIASFILB是CSST_IFS_B_BIASMS_C7202_20231114.fits，表示B: the bias master file str，即B通道的偏置主文件名。
1207,CRPIX3代表什么坐标？,CRPIX3代表pixel coordinate of reference point int，即参考点的像素坐标。
1208,WCSCAL_S的值为1表示什么？,WCSCAL_S的值为1表示WCS calibration completed? int，即WCS校准已完成。
1209,CUBE 数据HDU0中的FILENAME示例是什么？,CUBE 数据HDU0中的FILENAME示例是CSST_IFS_CUBE_104742.3+135908_C9101_LIN_0.fits，表示cube文件的名称。
1210,KSC-SJB-PK-65工作包是关于什么内容的？,从文档中找不到答案
1211,0级数据可用性标记工作包主要包含哪些模块？,0级数据可用性标记工作包主要包含三个模块，分别为：主要参数检查模块，次要参数检查模块，导星数据模块。
1212,在轨定标0级数据可用性标记工作包中，哪个模块负责主要参数检查？,在轨定标0级数据可用性标记工作包中，0级数据主要参数模块负责主要参数检查。
1213,本底参考图像生成工作包是为哪个模块服务的？,本底参考图像生成工作包是为巡天模块多色成像流水线和无缝光谱流水线服务的，提供仪器效应改正所需的本底参考图像。
1214,暗流参考图像生成工作包的主要输入是什么？,暗流参考图像生成工作包的主要输入是定期拍摄的一组暗场图像。
1215,增益计算及稳定性分析工作包输出什么？,增益计算及稳定性分析工作包输出增益以及增益的变化趋势及统计分布（分布形状，均值，标准差）。
1216,读出噪声计算工作包需要哪些输入？,读出噪声计算工作包需要一组本底图像及增益值作为输入。
1217,内部平场参考图像生成工作包的主要功能是什么？,内部平场参考图像生成工作包的主要功能是处理特定定标灯拍摄的一组内部平场图像，生成合并的内部平场参考图像，并进行平场稳定性趋势计算及统计。
1218,LED亮度监测分析工作包是如何进行监测的？,LED亮度监测分析工作包是通过比较长期监测获得的内部LED定标灯采集到的内部平场数据以及利用标准星得到的外部平场数据，来监测内部光源LED亮度长期变化趋势的。
1219,KSC-SJB-PK-07工作包编号对应哪个工作包？,KSC-SJB-PK-07工作包编号对应LED亮度监测分析工作包（巡天模块-探测器方面）。
1220,CSST-IFS的空间分辨率是多少？,CSST-IFS的空间分辨率为0.2 arcsec。
1221,SINFONI对NGC 1068中心区域在哪个波长上获取了H_2的流量图？,SINFONI对NGC 1068中心区域在2.12µm波长上获取了H_2的流量图。
1222,冷暗物质宇宙中的暗晕服从什么形式的分布？,冷暗物质宇宙中的暗晕应该服从NFW形式的分布，在中心处，物质密度随着半径的-1次方下降。
1223,"Newman et al. 2013, 2015的研究显示了什么关于暗物质晕密度轮廓的结论？","Newman et al. 2013, 2015的研究显示，星系团中心的暗物质晕密度轮廓很可能要比-1更加平坦。"
1224,主巡天将观测到多少个星系尺度强引力透镜系统？,在主巡天的天区中将观测到15万个星系尺度强引力透镜系统。
1225,通过什么方式可以得到星系尺度暗晕的精确物质分布模型？,通过观测星系团中心cD星系的IFS光谱，可以得到星系中恒星动力学信息。通过配合主巡天数据，可以对暗晕从～kpc尺度到Mpc尺度的物质分布都给出精确限制。
1226,到目前为止，使用地基望远镜已经探测到多少颗系外行星？,到目前为止，使用地基望远镜已经探测到近40颗的系外行星。
1227,Gemini/GPI和VLT/SPHERE系外行星成像仪在哪个波段实测成像对比度达到10^-6？,Gemini/GPI和VLT/SPHERE系外行星成像仪在红外波段（H，Ks）实测成像对比度在恒星0.4-0.5″角距离处达到10^-6。
1228,系外行星成像冕仪模块能够利用哪些优势进行观测？,系外行星成像冕仪模块能够利用空间环境无大气扰动以及观测波段窗口的优势进行观测。
1229,Lovelock在1965年的研究工作中指出了什么？,Lovelock在1965年的研究工作中指出，如果能够在行星大气中探测到较大量的O2...（此处省略了后续内容，因为原文在此处被截断，但已足够回答问题）
1230,Herschel HIFI对Orion KL的观测在哪个频段发现许多分子的发射强度超过10 K？,Herschel HIFI对Orion KL的观测在～500 GHz的频段发现许多分子的发射强度（主波束温度）超过10 K。
1231,Herschel太空望远镜的口径是多少米？,Herschel太空望远镜的口径是3.5米。
1232,CSST的口径与Herschel太空望远镜的主波束大小之比是多少？,CSST的口径与Herschel太空望远镜的主波束大小之比为3。
1233,在500 GHz的波段，CSST观测到的谱线强度预期会超过多少K？,在500 GHz的波段，CSST观测到的谱线强度会有许多超过～3 K（对于面源两者观测到的强度差异更小）。
1234,对单个源单个光谱达到0.01 K的噪声水平，大约需要多少秒的对源积分时间？,对单个源单个光谱达到0.01 K的噪声水平，大约需要1000秒的对源积分时间。
1235,仙女星系（M31）是距离哪个星系最近的漩涡星系？,仙女星系（M31）是距离银河系最近的漩涡星系。
1236,CSST的中性碳巡天将成为M31自主巡天项目的哪个重要组成部分？,CSST的中性碳巡天将与FAST、JCMT的巡天一起成为M31自主巡天项目的重要战略组成部分。
1237,在0.492 GHz，对M31整个区域进行CI成图观测大约需要多少小时？,在0.492 GHz，对M31整个区域进行CI成图观测大约需要480小时。
1238,CSST太赫兹模块对M31的CI成图观测有哪些优势？,CSST太赫兹模块对M31的CI成图观测优势在于不受大气影响，能够在2分钟的观测时间下对同一个源达到较高的探测水平，且能在较短时间内完成对整个区域的覆盖。
1239,CI本身是独立于哪种气体的气体总量探针？,CI本身是独立于CO的气体总量探针。
1240,SPICA是哪个组织机构的合作项目？,SPICA是日本宇宙航空研究开发机构和美国国家航空航天局、欧洲空间局的合作项目。
1241,SPICA预计的发射日期是什么时候？,SPICA预计的发射日期是2020年（预计），但请注意，原计划是2017年。
1242,SPICA的任务时长预计是多久？,SPICA的任务时长预计是5年。
1243,SPICA望远镜的质量是多少？,"SPICA望远镜的质量是2,600千克。"
1244,SPICA的轨道高度和第二拉格朗日点的位置是多少？,"SPICA的轨道高度是1,500,000千米，位置是第二拉格朗日点。"
1245,SPICA望远镜的主要观测波段是什么？,SPICA望远镜的主要观测波段是3.5-210微米（红外线）。
1246,SPICA望远镜的口径有多大？,SPICA望远镜的口径原本描述为3.5米，但后文提及的是2.5米，可能是文本描述有误，但根据提供的内容，应该以2.5米为准。
1247,SPICA的观测设备SAFARI的主要工作波段是什么？,SPICA的观测设备SAFARI的主要工作波段是35－210微米。
1248,SPICA的任务目标包括哪些内容？,SPICA的任务目标包括星系的诞生和演化、恒星和行星系的诞生和演化、星际物质的演化。
1249,SPICA望远镜采用哪种制冷方式？,SPICA望远镜完全依靠被动制冷（即在太空中自然冷却）和机械制冷的方式。
1250,PV2_6的数据类型是什么？,float
1251,RA_CEN代表什么？,center of field in RA (deg)
1252,ASTRRMS1的单位是什么？,arcsec
1253,V_FLUX表示什么信息？,version of flux calibration
1254,ZP的数值是多少？,23.882
1255,HDU2中的BITPIX的example值是多少？,-32
1256,HDU3的BSCALE值是多少？,1
1257,表18中的TFIELDS表示什么？,number of table fields
1258,TTYPE2在表18中对应的str值是多少？,v
1259,UV_RESIDUAL是哪个HDU的扩展名？,HDU4
1260,开普勒空间天文台的任务类型是什么？,空间天文台
1261,开普勒空间天文台的运营方是谁？,NASA大气及太空物理实验室（英语：Laboratory for Atmospheric and Space Physics）（LASP）
1262,开普勒空间天文台的制造方是谁？,Ball Aerospace & Technologies（英语：Ball Aerospace & Technologies）
1263,开普勒空间天文台的发射日期是什么时候？,2009年3月7日3时49分57.465秒 UTC
1264,开普勒空间天文台的发射场在哪里？,卡纳维拉尔角空军基地 SLC-17B
1265,开普勒望远镜的主镜尺寸是多少？,0.95米（3.1英尺）
1266,开普勒任务的主要科学目标是什么？,探索各种不同行星系的构造
1267,开普勒任务使用什么方法来检测行星？,凌日法
1268,开普勒空间天文台已经确认了多少颗系外行星？,"开普勒空间天文台已经确认了130多个系外行星，发现了超过2700颗候选行星。截至2018年，天文学家发现超过18,000颗系外行星候选者，大约3,800颗已被确认，2,325颗由开普勒空间天文台所发现。"
1269,开普勒-452b距离地球多少光年？,1400光年
1270,无缝光谱仪器效应改正工作包的编号是什么？,无缝光谱仪器效应改正工作包的编号是KSC-SJ2-PK-41
1271,1级暗流参考图像生成及变化分析工作包对应哪个编号？,1级暗流参考图像生成及变化分析工作包对应的编号是KSC-SJB-PK-0（注意：原文中暗流参考图像生成及变化分析工作包与内部平场参考图像生成及变化分析工作包、本底参考图像生成及变化分析工作包共享同一编号，这里按照提供的信息给出）
1272,2级光谱数据是什么格式？,2级光谱数据是FITS格式
1273,高精度波长定标工作包的编号是？,高精度波长定标工作包的编号是KSC-SJ2-PK-21
1274,星表数据中包括哪些天体类型信息？,星表数据中包括恒星、星系、类星体、未知等天体类型信息
1275,MCI仪器效应改正工作包的主要功能是什么？,MCI仪器效应改正工作包的主要功能是完成仪器效应改正、宇宙线去除、背景光去除、天体测量定位、天体流量定标的单幅图像数据，及其对应的权重图像、mask图像数据及相关元信息文件
1276,MCI超深场图像合并工作包生成的数据级别是什么？,MCI超深场图像合并工作包生成的数据是2级
1277,IFS合成数据空间像素合并工作包生成的数据是几级？,IFS合成数据空间像素合并工作包生成的数据是2级
1278,太赫兹模块1级数据包括哪些接收机参数？,太赫兹模块1级数据包括系统稳定时间、接收机噪声温度、系统灵敏度和校准误差等接收机参数
1279,CSST工程辅助数据产品中的空间环境数据产品包含哪些内容？,CSST工程辅助数据产品中的空间环境数据产品包含空间环境预报数据、空间环境在轨实测数据产品
1280,空间站多功能光学设施的口径是多少米？,空间站多功能光学设施的口径是2米。
1281,空间站多功能光学设施的主要任务是什么？,空间站多功能光学设施的主要任务是大规模天文巡天。
1282,高灵敏度太赫兹模块属于哪一部分内容？,高灵敏度太赫兹模块属于模块特色科学的一部分内容。
1283,暗能量、暗物质研究属于哪个科学研究内容分类？,暗能量、暗物质研究属于科学研究内容中的宇宙学分类。
1284,活动星系核与大质量黑洞的研究在哪一部分被提及？,活动星系核与大质量黑洞的研究在科学研究内容的星系和活动星系核部分的5.2.4被提及。
1285,银河系的精细结构及其形成与演化属于哪个科学研究子领域？,银河系的精细结构及其形成与演化属于科学研究内容中的近场宇宙学子领域。
1286,太阳系天体研究在哪一部分内容中被讨论？,太阳系天体研究在科学研究内容的其他科学部分的5.4.1被讨论。
1287,系外行星成像星冕仪是哪个模块的特色科学？,系外行星成像星冕仪是模块特色科学中的一部分内容。
1288,空间站多功能光学设施是否具备在轨维护升级的能力？,是的，空间站多功能光学设施具备在轨维护升级的能力。
1289,多通道成像仪是哪个部分的模块特色科学？,多通道成像仪是模块特色科学中的一部分内容。
1290,CSST的超深场预计可在多长时间内发现100-200颗红移1.0-1.5的Ia型超新星？,CSST的超深场预计可在1年时间(每周2小时深度曝光)发现100-200颗红移1.0-1.5左右的Ia型超新星。
1291,更高红移处的Ia型超新星爆发率为何可能被低估？,受观测天区和采样频率的限制，Ia型超新星爆发率在更高红移(z>1.5)处可能被严重低估。
1292,如何借助强引力透镜星系团的放大效应来捕获更高红移处的超新星？,可以借助强引力透镜星系团的放大效应来捕获更高红移处的超新星。
1293,暗物质占实物总量的多少？,暗物质占实物总量的80%以上。
1294,暗物质被认为是哪些宇宙结构形成的驱动因素？,暗物质被认为是从星系到星系团乃至超星系团和纤维状大尺度结构等宇宙结构形成的驱动因素。
1295,CSST多功能光学设施多色成像主巡天试图回答关于暗物质的哪些最重要问题？,CSST多功能光学设施多色成像主巡天试图回答以下关于暗物质的最重要问题：暗物质是否是冷的、暗物质粒子是否具有自相互作用、星系如何在暗物质晕中形成演化。
1296,温暗物质与冷暗物质的主要区别是什么？,温暗物质与冷暗物质的主要区别在于在温暗物质宇宙中不会形成很小质量的暗物质晕。
1297,利用强引力透镜星系团的高放大率可以探测到什么？,利用强引力透镜星系团的高放大率，通过发光恒星在大质量星系团的宏观临界曲线附近穿过由团内恒星产生的微焦散线，可以探测到轴子暗晕。
1298,子弹星系团给出了什么证据？,子弹星系团中暗物质和重子物质存在明显的偏离，给出了宇宙中星系团尺度上暗物质存在的最直接的证据。
1299,如何利用并合星系团以及其中的星系对自相互作用暗物质进行研究？,利用并合星系团以及其中的星系对自相互作用暗物质进行研究的方法包括观测暗物质、重子物质、星系三者分离情况，比较不同模拟结果下的暗物质分布和星系分布等。
1300,太赫兹模块1级数据包含哪些工作包？,太赫兹模块1级数据包含频率和位置校准工作包、网格重整工作包、1级数据质量检查工作包、2级数据的FITS文件生成工作包。
1301,在轨定标0级数据可用性标记工作包包含什么流程图？,在轨定标0级数据可用性标记工作包含有对应的流程图，即图10.147。
1302,在轨定标-巡天模块中，哪个工作包涉及本底参考图像生成？,在轨定标-巡天模块中，涉及本底参考图像生成的工作包是“本底参考图像生成及变化分析工作包”。
1303,在轨定标-MCI的哪些工作包与探测器相关？,在轨定标-MCI的以下工作包与探测器相关：探测器本底与噪声工作包、探测器暗电流工作包、探测器PTC工作包、探测器监测工作包。
1304,在轨定标-巡天模块中，增益计算及稳定性分析的工作包对应哪个流程图？,在轨定标-巡天模块中，增益计算及稳定性分析的工作包对应图10.150的流程图。
1305,哪个工作包流程图展示了在轨定标-MCI的超级平场工作？,展示了在轨定标-MCI的超级平场工作的工作包流程图是图10.188。
1306,在轨定标-巡天模块中，哪个工作包处理地球平场参考图像？,在轨定标-巡天模块中，处理地球平场参考图像的工作包是“地球平场参考图像生成及稳定性分析工作包”。
1307,在轨定标-IFS的工作包中，哪个涉及内部光谱灯定标？,在轨定标-IFS的工作包中，涉及内部光谱灯定标的工作包是“内部光谱灯定标工作包”。
1308,哪个流程图展示了在轨定标-MCI的探测器暗电流工作？,展示了在轨定标-MCI的探测器暗电流工作的流程图是图10.180和图10.196。
1309,在轨定标-巡天模块中，哪个工作包关注波长零点获取及稳定性分析？,在轨定标-巡天模块中，关注波长零点获取及稳定性分析的工作包是“波长零点获取及稳定性分析工作包”。
1310,太赫兹模块0级处理流水线的主要任务是什么？,太赫兹模块0级处理流水线的主要任务是对太赫兹模块硬件产生的原始数据进行初步标记，并按照观测的log文件以及观测任务文件对原始数据进行重新组包，加入时间戳，生成完整观测频谱0级数据。
1311,太赫兹模块1级处理流水线包括哪些观测模式的数据处理？,太赫兹模块1级处理流水线包括单点观测和OTF观测两种观测模式的数据处理。单点观测是针对点源目标进行成像，需要对成像数据的强度、频率和位置进行校准。OTF观测模式是针对区域目标进行观测，需要通过控制天线波束指向按照指定的观测路径对目标区域内的样点逐个进行快速扫描观测，数据需要进行强度、频率和位置的校准，还需要进行网格重整。
1312,2级数据处理流水线的主要目的是什么？,2级数据处理流水线的主要目的是对1级数据的质量进行检查，将数据中噪声异常数据或存在干扰数据进行标记，并且将校准后符合数据质量要求的数据按照标准的FITS文件定义生成标准FITS文件。
1313,KSC-SJ8-PK-01工作包的主要功能是什么？,KSC-SJ8-PK-01工作包（0级数据可用性标记工作包）的主要功能是对太赫兹硬件模块输出的原始数据进行质量检查，核查输出的原始文件中关键字段的取值范围，若各字段取值均在预先设定的范围内则标记0级数据可用，反之，标记不可用。
1314,0级数据组包工作包（KSC-SJ8-PK-02）的输出是什么？,0级数据组包工作包（KSC-SJ8-PK-02）的输出是完整观测频谱0级数据。该工作包将太赫兹模块频谱处理组件（硬件）产生的数据依据设定的0级数据定义以及观测任务文件中关键字段的说明，将频谱数据拆包存储的数据进行重新组包，并加入时间戳。
1315,单点观测模式下，1级数据强度校准工作包需要考虑哪些校准因子？,单点观测模式下，1级数据强度校准工作包需要考虑的校准因子包括仿真和实测的不同边缘切削时的主波束宽度、不同边缘切削时的旁瓣电平以及不同轴向偏焦（离焦）的天线增益，计算实测的耦合参数（校准因子）对1级数据强度进行校准。
1316,什么是多普勒频移，它对太赫兹模块1级数据的频率校准有何影响？,多普勒频移是由于观测者位置、地球绕太阳公转、太阳公转、太阳在银河系中的运动等多重因素产生的频率变化。在太赫兹模块1级数据频率校准中，需要统一速度扣除多普勒频移，从而实现对1级数据的频率校准。
1317,在单点观测模式下，1级数据频率和位置校准工作包的输出是什么？,在单点观测模式下，1级数据频率和位置校准工作包的输出是太赫兹模块的1级数据。该工作包对经强度校准后的太赫兹模块0级数据进行频率和位置校准，最终得到单点观测模式下太赫兹模块的1级数据。
1318,OTF观测模式下，1级数据强度校准工作包与单点观测模式有什么不同？,从提供的内容中无法直接得出OTF观测模式下1级数据强度校准工作包与单点观测模式的具体不同，但可以知道两者都依据仿真和实测的不同边缘切削时的主波束宽度、不同边缘切削时的旁瓣电平以及不同轴向偏焦（离焦）的天线增益，计算实测的耦合参数（校准因子）对1级数据强度进行校准。可能的不同之处在于数据处理的具体流程和细节上。
1319,KSC-SJ8-PL2-01是哪个处理流水线的编号？,KSC-SJ8-PL2-01是太赫兹模块2级处理流水线的编号。
1320,Green Peas星系在SDSS光谱中具有什么特征？,Green Peas星系在SDSS光谱中具有极强的[OIII]5007发射线（等值宽度>300埃），红移在0.112<z<0.360。
1321,Green Peas星系主要是什么类型的星系？,Green Peas星系是处于极强的恒星形成阶段、质量偏低的贫金属星系，具有很高的比恒星形成率。
1322,在什么红移范围内发现了类似Green Peas的极强[OIII]发射线星系？,在高红移宇宙中以及不同红移处都发现了类似Green Peas的极强[OIII]发射线星系，红移范围包括z>6.5等。
1323,极高发射线星系搜寻对研究星系形成和演化有何科学价值？,极高发射线星系的搜寻对研究发现小质量贫金属星系，其中的恒星形成，以及刻画星系形成和演化的图像具有突出的科学价值。
1324,CSST巡天在极强发射线星系研究中有哪些优势？,CSST巡天在极强发射线星系研究中的优势包括：可以直接证认极强发射线星系；高空间分辨率研究极强发射线星系的形态；近紫外波段覆盖研究极强发射线星系的紫外连续谱，测定恒星形成率；可发现更小质量的极强发射线星系。
1325,Peng等人2010年发现了什么关于星系死亡原因的结论？,Peng et al. 2010发现，星系的恒星质量和星系所处的环境，对死亡星系比例的相对效应可以完全分开。这说明导致星系死亡的原因是由两个完全独立的过程控制，即由星系内部原因导致的死亡（质量熄灭）和由星系外部环境导致的死亡（环境熄灭）。
1326,为什么说基于小天区的测光红移巡天观测不能准确限制不同红移处的环境效应？,基于小天区的测光红移巡天观测不能准确限制不同红移处的环境效应，因为受到测光红移不够准确，和小天区导致的cosmic variance的影响。
1327,CSST无缝光谱存在哪些问题？,CSST无缝光谱存在的问题包括：在星系密度比较高的地方，confusion效应会变得比较严重；CSST的无缝光谱可以有效的测量亮星系和恒星形成星系的光谱红移，对暗星系和死亡星系会比较困难；由于观测波长最长到1μm，对于处于红移沙漠的星系（z > 1），光谱红移测量的成功率会比z < 1低。
1328,如何利用CSST的测光红移和光谱红移重建星系分布的密度场？,可以利用有高精度的光谱红移的星系作为密度场的“骨架”，再把其余（有低精度测光红移）的星系作为“肉”，并根据每个星系在推导其测光红移时给出的红移分布概率函数，往“骨架”上安装，以此重建星系从低红移到高红移的密度场。
1329,CSST在研究星系形态和结构方面有何独特优势？,CSST的另一个特点是可以提供有HST质量的高分辨率图像，并将覆盖比HST大得多的天区，这对研究星系的形态和结构有着巨大的优势。
1330,表10.33列出了什么内容？,表10.33列出了天测单帧图像目标检测识别工作包模块。
1331,表10.34是关于什么的工作包模块列表？,表10.34是关于单帧图像天体高精度定心的工作包模块列表。
1332,表10.40描述的是哪个工作包模块列表？,表10.40描述的是无缝光谱仪器效应改正工作包模块列表。
1333,无缝光谱初步位置定标在哪个表中有列出？,无缝光谱初步位置定标在表10.42中有列出。
1334,哪张表列出了无缝光谱精确位置定标的工作包功能模块？,表10.45列出了无缝光谱精确位置定标的工作包功能模块。
1335,表10.49和哪个主题相关？,表10.49和无缝光谱的粗分类与红移测量工作包模块相关。
1336,MCI数据处理软件0-1级功能在哪张表中列出？,MCI数据处理软件0-1级功能在表10.55中列出。
1337,MCI仪器效应改正工作包模块在哪张表中可以找到？,MCI仪器效应改正工作包模块在表10.59中可以找到。
1338,表10.63是关于MCI的什么工作包模块列表？,表10.63是关于MCI超深场图像合并的工作包模块列表。
1339,IFS数据处理软件的流水线列表在哪张表中？,IFS数据处理软件的流水线列表在表10.72中。
1340,国际伽玛射线天体物理实验室的NSSDC ID是什么？,2002-048A
1341,国际伽玛射线天体物理实验室由哪些组织机构共同研制？,ESA，NASA，RKA
1342,国际伽玛射线天体物理实验室在哪一天发射？,2002年10月17日
1343,国际伽玛射线天体物理实验室的发射地点是哪里？,拜科努尔航天中心
1344,国际伽玛射线天体物理实验室的发射载体是什么？,质子号火箭
1345,国际伽玛射线天体物理实验室的质量是多少？,4.1吨
1346,国际伽玛射线天体物理实验室的轨道类型是什么？,椭圆轨道
1347,国际伽玛射线天体物理实验室的光学V波段口径多大？,3.7米
1348,国际伽玛射线天体物理实验室的主要科学仪器有哪些？,光谱仪（SPI）、成像仪（IBIS）、欧洲联合X射线监视器（JEM-X）、光学监视照相机（OMC）
1349,光谱仪SPI的工作能段是什么？,20keV-8MeV
1350,在行星大气中探测到哪些气体组合可以认为是生命存在的最有力证据？,如果能够在行星大气中探测到较大量的O2（或附属物O3），同时有微量的甲烷或者N2O，则认为是生命存在的最有力证据（Lovelock 1965）。
1351,Earthshine观测数据拟合出的是什么？,Earthshine的观测数据，即基于太阳光经由地球表面大气反射照向月球之后的再次反射，拟合出的存在生命行星在可见光及近红外波段的反射光谱曲线。
1352,氧气在反射光谱曲线中的光谱窗口是多少？,氧气在反射光谱曲线中的光谱窗口在0.68和0.76μm，O3则覆盖了可见光较宽的波段（0.5-0.7μm）。
1353,星冕仪将用于哪个设施，目的是什么？,星冕仪用于空间站多功能光学设施，将通过多波段测光，对探测到的系外行星进行光谱拟合，将能够获取成熟系外行星系统的大气光谱分布，为未来寻找和确认系外生命特征信号奠定重要基础。
1354,空间站星冕仪模块将开展多少颗近邻类太阳光谱型恒星的高对比度成像巡天观测？,空间站星冕仪模块将开展千颗近邻类太阳光谱型恒星的高对比度成像巡天观测。
1355,通过什么方法可以更好的确定行星的准确质量和密度？,结合凌星法与视向速度法能够更好的确定行星的准确质量、密度，进而确认其内部结构形态。
1356,对视向速度法发现的行星系统进行哪种观测是重要的交叉认证？,对视向速度法发现的行星系统进行直接成像的后随观测，是非常重要的交叉认证。
